Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,489.189,1553,<0 15 5 6 7 20 4 23 11 3 22 8 12 13 9 16 21 17 18 1 19 14 2 10 >
5,7,7.91955,1531,<0 15 5 7 6 20 17 21 10 2 16 9 18 1 14 19 12 8 22 13 4 23 11 3 >
5,8,7.91955,1523,<0 15 5 23 4 13 22 8 12 19 14 1 18 9 16 2 10 21 17 20 7 6 11 3 >
5,8,7.91955,1467,<0 15 5 23 4 13 22 8 12 19 14 1 18 17 21 10 2 16 9 20 7 6 11 3 >
5,8,7.91955,1458,<0 15 5 23 4 13 22 8 12 19 1 14 18 21 17 16 2 10 9 20 7 6 11 3 >
6,9,2.68832,1448,<0 3 11 9 20 7 6 10 2 16 17 21 18 14 1 19 12 8 22 13 4 23 5 15 >
6,9,2.68832,1443,<0 3 11 13 22 8 12 19 1 14 18 21 17 16 2 10 6 7 20 9 4 23 5 15 >
6,9,2.68832,1418,<0 11 3 13 22 8 12 19 1 14 18 21 17 16 2 10 6 7 20 9 4 23 5 15 >
7,10,0.87299,1389,<0 15 5 23 4 9 20 7 6 10 2 16 17 21 18 14 1 19 13 22 8 12 3 11 >
7,11,0.87299,1310,<0 15 5 23 4 9 20 7 6 10 2 16 21 17 18 14 1 19 13 12 8 22 3 11 >
10,15,0.0243317,1298,<0 11 3 22 8 12 13 19 1 14 18 16 21 17 2 10 6 7 20 9 4 23 5 15 >
