Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,40.3378,589,<11 10 8 0 6 9 7 4 2 5 1 3 >
0,0,40.3378,530,<11 10 8 0 7 9 6 4 2 5 1 3 >
0,0,40.3378,520,<11 10 8 0 3 9 6 4 2 5 1 7 >
0,0,40.3378,496,<8 10 3 0 11 5 6 4 2 7 1 9 >
0,0,40.3378,455,<7 10 3 0 11 5 6 4 2 8 1 9 >
0,0,40.3378,415,<8 5 7 0 1 4 6 2 11 10 3 9 >
0,0,40.3378,400,<8 5 3 0 1 4 6 2 11 10 7 9 >
1,0,40.1361,396,<1 0 3 5 10 8 11 2 6 4 7 9 >
5,1,39.3393,381,<3 10 0 5 9 11 2 6 4 1 7 8 >
5,1,39.3393,346,<3 10 7 8 9 11 2 6 4 1 0 5 >
59,20,30.0105,344,<9 3 1 0 10 5 7 8 4 6 2 11 >
66,22,28.9758,319,<0 1 8 4 6 7 2 11 9 5 3 10 >
66,22,28.9758,315,<0 1 8 4 6 7 9 11 2 5 3 10 >
67,22,28.8309,308,<0 1 8 4 6 11 2 7 9 5 3 10 >
81,27,26.877,298,<10 0 9 11 2 6 4 8 1 7 5 3 >
134,45,20.6065,284,<9 7 11 2 6 4 8 1 0 10 3 5 >
157,52,18.3627,264,<6 2 11 9 7 5 3 10 0 1 8 4 >
