Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,51.6773,684,<0 12 1 10 6 7 3 8 13 5 14 2 9 4 11 >
0,0,51.6773,668,<0 12 1 10 6 7 3 8 5 13 14 2 4 9 11 >
0,0,51.6773,627,<8 12 1 10 6 7 3 0 5 13 14 2 4 9 11 >
0,0,51.6773,624,<8 12 1 10 6 7 14 0 5 9 11 2 4 13 3 >
0,0,51.6773,583,<8 12 1 10 6 7 3 0 5 9 11 2 4 13 14 >
0,0,51.6773,572,<14 8 5 10 6 7 3 0 12 1 11 2 4 13 9 >
0,0,51.6773,542,<14 8 5 10 3 7 6 0 12 1 11 2 4 13 9 >
2,1,51.1619,526,<3 0 1 7 10 4 2 11 8 14 12 9 6 13 5 >
2,1,51.1619,504,<3 0 1 7 10 12 2 11 4 14 8 9 6 13 5 >
2,1,51.1619,481,<3 7 1 0 10 12 2 11 4 14 8 9 6 13 5 >
2,1,51.1619,464,<3 7 10 0 1 12 2 11 4 14 8 9 6 13 5 >
3,1,50.906,451,<14 12 1 7 9 4 2 11 13 3 10 5 0 6 8 >
6,3,50.1463,436,<7 2 4 6 8 14 12 1 0 10 11 3 5 13 9 >
14,7,48.1752,420,<2 6 9 7 12 0 1 14 4 8 3 5 10 13 11 >
38,20,42.7147,412,<0 10 5 3 9 7 14 4 8 2 13 11 6 1 12 >
38,20,42.7147,401,<0 10 5 3 7 9 14 4 8 2 13 11 6 1 12 >
91,48,32.7492,396,<4 6 8 13 11 2 9 5 3 0 10 7 1 12 14 >
107,57,30.2253,376,<4 14 12 0 1 10 3 5 13 11 2 6 8 7 9 >
121,64,28.1769,371,<14 12 0 8 4 6 2 11 13 5 3 10 9 7 1 >
150,80,24.3648,369,<4 8 14 9 5 7 1 12 0 10 3 11 13 2 6 >
178,95,21.1743,365,<4 14 6 2 13 11 9 12 1 0 10 3 5 7 8 >
186,99,20.342,362,<7 12 0 1 8 14 4 6 2 11 13 9 3 10 5 >
186,99,20.342,351,<7 12 0 1 8 14 4 6 2 11 13 5 3 10 9 >
187,99,20.2403,347,<7 1 0 12 8 14 4 6 2 11 13 5 3 10 9 >
220,117,17.1545,340,<0 10 3 5 13 11 2 9 6 4 8 14 12 1 7 >
220,117,17.1545,332,<0 10 3 5 13 11 9 2 6 4 8 14 12 1 7 >
247,131,14.9831,331,<7 11 13 5 3 10 0 1 12 8 14 4 6 2 9 >
248,132,14.9082,319,<7 11 13 5 3 10 0 12 1 8 14 4 6 2 9 >
346,184,9.12194,307,<5 7 9 13 11 2 6 4 14 8 12 1 0 10 3 >
346,184,9.12194,299,<5 7 9 13 11 2 6 4 8 14 12 1 0 10 3 >
358,190,8.58943,295,<5 7 9 13 11 2 6 4 14 8 1 12 0 10 3 >
358,190,8.58943,291,<5 7 9 13 11 2 6 4 8 14 1 12 0 10 3 >
