Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,78.9876,512,<1 7 5 2 3 4 0 6 9 8 >
0,0,78.9876,499,<1 7 5 2 8 4 0 6 9 3 >
0,0,78.9876,475,<1 6 5 8 2 4 0 7 9 3 >
0,0,78.9876,454,<1 6 5 8 2 3 0 7 9 4 >
0,0,78.9876,367,<1 9 5 8 2 3 0 7 6 4 >
0,0,78.9876,359,<1 6 9 8 2 3 0 7 5 4 >
1,0,78.5926,351,<2 8 7 5 0 4 3 6 1 9 >
2,0,78.1997,325,<8 4 1 9 2 0 3 6 7 5 >
4,0,77.4196,295,<3 1 6 8 4 2 9 7 5 0 >
4,1,77.4196,267,<1 6 7 5 8 4 2 9 0 3 >
4,1,77.4196,252,<1 6 7 8 4 5 0 3 2 9 >
21,4,71.0957,237,<5 8 7 6 9 1 4 2 3 0 >
96,22,48.8174,234,<3 0 9 6 7 8 2 4 5 1 >
163,37,34.8916,219,<0 5 4 2 8 7 6 9 1 3 >
169,39,33.8579,212,<7 8 2 4 3 0 5 1 9 6 >
