Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,40.886,147,<13 9 0 2 1 5 11 10 7 16 8 12 4 3 15 14 6 >
0,0,40.886,136,<11 9 0 2 1 7 10 6 5 16 13 12 4 3 15 14 8 >
0,0,40.886,132,<8 3 6 15 10 1 9 7 14 5 4 2 13 11 0 12 16 >
0,0,40.886,99,<13 2 10 15 14 6 4 5 3 1 0 9 11 16 8 7 12 >
0,0,40.886,96,<13 2 10 15 14 6 3 5 4 12 0 11 9 16 8 7 1 >
1,0,40.6815,90,<13 2 10 5 15 14 12 6 4 8 0 7 3 16 11 9 1 >
1,0,40.6815,86,<13 2 10 5 15 14 6 12 0 8 4 7 3 16 11 9 1 >
1,0,40.6815,85,<13 2 11 5 15 14 6 12 0 8 4 7 3 16 10 9 1 >
2,1,40.4781,69,<12 16 9 6 3 4 14 8 7 5 15 11 10 2 13 1 0 >
14,10,38.1151,66,<13 2 0 10 9 1 16 11 6 5 3 14 4 15 7 8 12 >
25,17,36.0704,65,<16 12 11 8 9 1 13 10 2 0 7 6 5 4 3 15 14 >
29,20,35.3544,60,<4 6 11 0 16 8 7 1 13 2 12 5 9 10 15 14 3 >
38,26,33.7949,50,<10 1 0 8 16 3 4 6 5 14 15 7 9 12 13 2 11 >
38,26,33.7949,45,<10 11 0 8 16 3 4 6 5 14 15 7 9 12 13 2 1 >
133,92,20.9915,44,<9 1 12 13 2 10 14 4 3 6 15 5 11 0 7 8 16 >
340,238,7.43742,40,<0 11 1 10 9 2 13 12 14 15 6 5 4 3 8 7 16 >
403,282,5.42346,39,<0 11 13 2 12 1 9 10 14 5 6 15 4 3 7 16 8 >
