Numer epoki,Czas[ms],Temp,Dystans,Sciezka
0,0,41.9536,582,<10 1 12 8 9 4 11 7 5 6 3 2 0 >
0,0,41.9536,553,<10 7 12 8 9 4 11 1 5 6 2 3 0 >
0,0,41.9536,537,<3 8 12 7 9 4 11 1 5 2 6 0 10 >
0,0,41.9536,532,<3 7 8 12 9 4 11 1 5 2 6 0 10 >
0,0,41.9536,528,<3 12 8 9 7 4 11 1 5 2 6 0 10 >
0,0,41.9536,500,<0 12 8 9 7 4 11 1 5 2 6 3 10 >
0,0,41.9536,481,<5 3 4 1 10 0 8 2 11 9 6 12 7 >
0,0,41.9536,469,<5 3 4 0 10 1 12 6 11 2 9 8 7 >
0,0,41.9536,409,<5 3 10 0 4 1 12 6 11 2 9 8 7 >
4,1,41.1208,395,<5 9 12 1 8 4 6 2 11 0 3 10 7 >
6,2,40.7106,372,<6 4 1 12 0 10 3 7 5 8 2 11 9 >
6,2,40.7106,356,<8 4 1 12 0 10 3 7 5 6 2 11 9 >
49,19,32.8171,336,<1 11 2 6 8 4 7 9 5 3 10 0 12 >
90,35,26.7206,327,<6 2 11 7 12 0 10 3 5 9 1 8 4 >
101,40,25.2872,314,<2 4 6 8 1 12 0 10 3 5 9 7 11 >
154,61,19.3876,307,<5 9 11 2 6 4 8 1 7 12 0 10 3 >
172,68,17.7149,295,<5 3 10 0 12 1 7 8 4 6 2 11 9 >
207,82,14.8644,281,<10 0 1 12 8 4 6 2 11 9 7 5 3 >
216,85,14.2087,269,<3 5 7 9 11 2 6 4 8 1 12 0 10 >
